index,value
101.00388,8.50016E-05
101.32082,8.55266E-05
101.63776,8.60518E-05
101.9547,8.65771E-05
102.27165,8.71026E-05
102.58859,8.76282E-05
102.90553,8.81539E-05
103.22247,8.86796E-05
103.53941,8.92055E-05
103.85636,8.97314E-05
104.1733,9.02573E-05
104.49024,9.07833E-05
104.80718,9.13094E-05
105.12412,9.18354E-05
105.44107,9.23614E-05
105.75801,9.28875E-05
106.07495,9.34135E-05
106.39189,9.39396E-05
106.70883,9.44657E-05
107.02578,9.49919E-05
107.34272,9.55181E-05
107.65966,9.60444E-05
107.9766,9.65707E-05
108.29354,9.70972E-05
108.61049,9.76237E-05
108.92743,9.81503E-05
109.24437,9.86771E-05
109.56131,9.92039E-05
109.87825,9.97309E-05
110.1952,0.000100258
110.51214,0.000100785
110.82908,0.000101313
111.14602,0.00010184
111.46296,0.000102368
111.7799,0.000102896
112.09685,0.000103424
112.41379,0.000103953
112.73073,0.000104481
113.04767,0.00010501
113.36461,0.000105539
113.68156,0.000106069
113.9985,0.000106598
114.31544,0.000107128
114.63238,0.000107658
114.94932,0.000108189
115.26627,0.000108719
115.58321,0.00010925
115.90015,0.000109782
116.21709,0.000110313
116.53403,0.000110845
116.85098,0.000111377
117.16792,0.000111909
117.48486,0.000112441
117.8018,0.000112973
118.11874,0.000113506
118.43569,0.000114038
118.75263,0.000114571
119.06957,0.000115104
119.38651,0.000115636
119.70345,0.000116169
120.0204,0.000116702
120.33734,0.000117235
120.65428,0.000117768
120.97122,0.000118301
121.28816,0.000118834
121.60511,0.000119366
121.92205,0.000119899
122.23899,0.000120431
122.55593,0.000120964
122.87287,0.000121496
123.18981,0.000122028
123.50676,0.00012256
123.8237,0.000123092
124.14064,0.000123624
124.45758,0.000124155
124.77452,0.000124686
125.09147,0.000125217
125.40841,0.000125748
125.72535,0.000126278
126.04229,0.000126808
126.35923,0.000127338
126.67618,0.000127868
126.99312,0.000128398
127.31006,0.000128927
127.627,0.000129457
127.94394,0.000129986
128.26089,0.000130515
128.57783,0.000131043
128.89477,0.000131572
129.21171,0.000132101
129.52865,0.000132629
129.8456,0.000133157
130.16254,0.000133685
130.47948,0.000134213
130.79642,0.000134741
131.11336,0.000135269
131.43031,0.000135797
131.74725,0.000136324
132.06419,0.000136852
132.38113,0.00013738
132.69807,0.000137907
133.01502,0.000138434
133.33196,0.000138962
133.6489,0.000139489
133.96584,0.000140016
134.28278,0.000140544
134.59972,0.000141071
134.91667,0.000141598
135.23361,0.000142126
135.55055,0.000142653
135.86749,0.00014318
136.18443,0.000143707
136.50138,0.000144234
136.81832,0.000144762
137.13526,0.000145289
137.4522,0.000145816
137.76914,0.000146343
138.08609,0.00014687
138.40303,0.000147397
138.71997,0.000147925
139.03691,0.000148452
139.35385,0.000148979
139.6708,0.000149506
139.98774,0.000150033
140.30468,0.00015056
140.62162,0.000151087
140.93856,0.000151615
141.25551,0.000152142
141.57245,0.000152669
141.88939,0.000153196
142.20633,0.000153723
142.52327,0.00015425
142.84022,0.000154778
143.15716,0.000155305
143.4741,0.000155832
143.79104,0.000156359
144.10798,0.000156887
144.42492,0.000157414
144.74187,0.000157941
145.05881,0.000158468
145.37575,0.000158995
145.69269,0.000159521
146.00963,0.000160047
146.32658,0.000160573
146.64352,0.000161099
146.96046,0.000161625
147.2774,0.000162149
147.59434,0.000162674
147.91129,0.000163198
148.22823,0.000163721
148.54517,0.000164244
148.86211,0.000164767
149.17905,0.000165288
149.496,0.000165809
149.81294,0.000166329
150.12988,0.000166849
150.44682,0.000167367
150.76376,0.000167885
151.08071,0.000168402
151.39765,0.000168918
151.71459,0.000169433
152.03153,0.000169947
152.34847,0.00017046
152.66542,0.000170972
152.98236,0.000171482
153.2993,0.000171992
153.61624,0.0001725
153.93318,0.000173008
154.25013,0.000173514
154.56707,0.000174019
154.88401,0.000174523
155.20095,0.000175027
155.51789,0.00017553
155.83483,0.000176033
156.15178,0.000176536
156.46872,0.000177038
156.78566,0.00017754
157.1026,0.000178042
157.41954,0.000178545
157.73649,0.000179047
158.05343,0.00017955
158.37037,0.000180054
158.68731,0.000180558
159.00425,0.000181062
159.3212,0.000181568
159.63814,0.000182074
159.95508,0.00018258
160.27202,0.000183087
160.58896,0.000183595
160.90591,0.000184104
161.22285,0.000184613
161.53979,0.000185123
161.85673,0.000185633
162.17367,0.000186144
162.49062,0.000186655
162.80756,0.000187167
163.1245,0.00018768
163.44144,0.000188193
163.75838,0.000188707
164.07533,0.000189221
164.39227,0.000189736
164.70921,0.000190252
165.02615,0.000190768
165.34309,0.000191284
165.66004,0.000191801
165.97698,0.000192318
166.29392,0.000192835
166.61086,0.000193353
166.9278,0.000193871
167.24474,0.000194389
167.56169,0.000194908
167.87863,0.000195427
168.19557,0.000195946
168.51251,0.000196465
168.82945,0.000196985
169.1464,0.000197504
169.46334,0.000198024
169.78028,0.000198543
170.09722,0.000199063
170.41416,0.000199583
170.73111,0.000200103
171.04805,0.000200623
171.36499,0.000201142
171.68193,0.000201662
171.99887,0.000202182
172.31582,0.000202701
172.63276,0.000203221
172.9497,0.00020374
173.26664,0.000204259
173.58358,0.000204778
173.90053,0.000205296
174.21747,0.000205814
174.53441,0.000206333
174.85135,0.00020685
175.16829,0.000207368
175.48524,0.000207885
175.80218,0.000208402
176.11912,0.000208919
176.43606,0.000209436
176.753,0.000209952
177.06994,0.000210468
177.38689,0.000210983
177.70383,0.000211498
178.02077,0.000212013
178.33771,0.000212527
178.65465,0.000213041
178.9716,0.000213554
179.28854,0.000214068
179.60548,0.00021458
179.92242,0.000215092
180.23936,0.000215604
180.55631,0.000216115
180.87325,0.000216626
181.19019,0.000217136
181.50713,0.000217646
181.82407,0.000218155
182.14102,0.000218664
182.45796,0.000219172
182.7749,0.00021968
183.09184,0.000220187
183.40878,0.000220694
183.72573,0.0002212
184.04267,0.000221706
184.35961,0.000222212
184.67655,0.000222717
184.99349,0.000223223
185.31044,0.000223727
185.62738,0.000224232
185.94432,0.000224737
186.26126,0.000225241
186.5782,0.000225745
186.89515,0.000226249
187.21209,0.000226753
187.52903,0.000227257
187.84597,0.000227761
188.16291,0.000228265
188.47985,0.000228769
188.7968,0.000229274
189.11374,0.000229778
189.43068,0.000230282
189.74762,0.000230787
190.06456,0.000231292
190.38151,0.000231797
190.69845,0.000232302
191.01539,0.000232808
191.33233,0.000233314
191.64927,0.00023382
191.96622,0.000234327
192.28316,0.000234834
192.6001,0.000235341
192.91704,0.000235849
193.23398,0.000236357
193.55093,0.000236865
193.86787,0.000237374
194.18481,0.000237883
194.50175,0.000238392
194.81869,0.000238901
195.13564,0.00023941
195.45258,0.00023992
195.76952,0.00024043
196.08646,0.000240939
196.4034,0.000241449
196.72035,0.000241959
197.03729,0.000242468
197.35423,0.000242978
197.67117,0.000243488
197.98811,0.000243997
198.30506,0.000244507
198.622,0.000245016
198.93894,0.000245525
199.25588,0.000246034
199.57282,0.000246543
199.88976,0.000247051
200.20671,0.00024756
200.52365,0.000248068
200.84059,0.000248575
201.15753,0.000249083
201.47447,0.00024959
201.79142,0.000250096
202.10836,0.000250603
202.4253,0.000251109
202.74224,0.000251614
203.05918,0.00025212
203.37613,0.000252625
203.69307,0.00025313
204.01001,0.000253636
204.32695,0.000254141
204.64389,0.000254646
204.96084,0.000255151
205.27778,0.000255656
205.59472,0.000256161
205.91166,0.000256667
206.2286,0.000257173
206.54555,0.000257679
206.86249,0.000258185
207.17943,0.000258692
207.49637,0.000259199
207.81331,0.000259706
208.13026,0.000260213
208.4472,0.00026072
208.76414,0.000261227
209.08108,0.000261734
209.39802,0.000262241
209.71496,0.000262748
210.03191,0.000263255
210.34885,0.000263761
210.66579,0.000264267
210.98273,0.000264773
211.29967,0.000265278
211.61662,0.000265783
211.93356,0.000266288
212.2505,0.000266792
212.56744,0.000267295
212.88438,0.000267799
213.20133,0.000268302
213.51827,0.000268806
213.83521,0.000269309
214.15215,0.000269812
214.46909,0.000270315
214.78604,0.000270819
215.10298,0.000271322
215.41992,0.000271826
215.73686,0.000272331
216.0538,0.000272835
216.37075,0.00027334
216.68769,0.000273846
217.00463,0.000274352
217.32157,0.000274858
217.63851,0.000275364
217.95546,0.000275871
218.2724,0.000276378
218.58934,0.000276886
218.90628,0.000277393
219.22322,0.0002779
219.54017,0.000278407
219.85711,0.000278915
220.17405,0.000279422
220.49099,0.000279929
220.80793,0.000280435
221.12487,0.000280941
221.44182,0.000281448
221.75876,0.000281953
222.0757,0.000282459
222.39264,0.000282964
222.70958,0.000283469
223.02653,0.000283973
223.34347,0.000284478
223.66041,0.000284982
223.97735,0.000285485
224.29429,0.000285989
224.61124,0.000286492
224.92818,0.000286995
225.24512,0.000287498
225.56206,0.000288
225.879,0.000288502
226.19595,0.000289004
226.51289,0.000289506
226.82983,0.000290008
227.14677,0.000290509
227.46371,0.00029101
227.78066,0.000291511
228.0976,0.000292012
228.41454,0.000292512
228.73148,0.000293013
229.04842,0.000293513
229.36537,0.000294013
229.68231,0.000294512
229.99925,0.000295012
230.31619,0.000295511
230.63313,0.000296011
230.95008,0.00029651
231.26702,0.000297009
231.58396,0.000297507
231.9009,0.000298006
232.21784,0.000298505
232.53478,0.000299003
232.85173,0.000299501
233.16867,0.000299999
233.48561,0.000300497
233.80255,0.000300995
234.11949,0.000301493
234.43644,0.00030199
234.75338,0.000302488
235.07032,0.000302985
235.38726,0.000303483
235.7042,0.00030398
236.02115,0.000304477
236.33809,0.000304974
236.65503,0.000305471
236.97197,0.000305968
237.28891,0.000306465
237.60586,0.000306962
237.9228,0.000307458
238.23974,0.000307955
238.55668,0.000308452
238.87362,0.000308948
239.19057,0.000309445
239.50751,0.000309941
239.82445,0.000310438
240.14139,0.000310934
240.45833,0.000311431
240.77528,0.000311927
241.09222,0.000312424
241.40916,0.00031292
241.7261,0.000313416
242.04304,0.000313913
242.35998,0.000314409
242.67693,0.000314906
242.99387,0.000315402
243.31081,0.000315898
243.62775,0.000316395
243.94469,0.000316891
244.26164,0.000317387
244.57858,0.000317883
244.89552,0.00031838
245.21246,0.000318876
245.5294,0.000319372
245.84635,0.000319868
246.16329,0.000320365
246.48023,0.000320861
246.79717,0.000321357
247.11411,0.000321853
247.43106,0.000322349
247.748,0.000322845
248.06494,0.000323341
248.38188,0.000323837
248.69882,0.000324333
249.01577,0.000324829
249.33271,0.000325325
249.64965,0.000325821
249.96659,0.000326317
250.28353,0.000326813
250.60048,0.000327309
250.91742,0.000327805
251.23436,0.000328301
251.5513,0.000328797
251.86824,0.000329292
252.18519,0.000329788
252.50213,0.000330284
252.81907,0.00033078
253.13601,0.000331275
253.45295,0.000331771
253.76989,0.000332267
254.08684,0.000332762
254.40378,0.000333258
254.72072,0.000333754
255.03766,0.000334249
255.3546,0.000334745
255.67155,0.00033524
255.98849,0.000335736
256.30543,0.000336231
256.62237,0.000336727
256.93931,0.000337222
257.25626,0.000337718
257.5732,0.000338213
257.89014,0.000338708
258.20708,0.000339204
258.52402,0.000339699
258.84097,0.000340194
259.15791,0.000340689
259.47485,0.000341184
259.79179,0.00034168
260.10873,0.000342175
260.42568,0.00034267
260.74262,0.000343165
261.05956,0.00034366
261.3765,0.000344155
261.69344,0.00034465
262.01039,0.000345145
262.32733,0.00034564
262.64427,0.000346135
262.96121,0.00034663
263.27815,0.000347125
263.5951,0.00034762
263.91204,0.000348115
264.22898,0.00034861
264.54592,0.000349105
264.86286,0.0003496
265.1798,0.000350095
265.49675,0.00035059
265.81369,0.000351085
266.13063,0.00035158
266.44757,0.000352075
266.76451,0.00035257
267.08146,0.000353065
267.3984,0.00035356
267.71534,0.000354055
268.03228,0.00035455
268.34922,0.000355045
268.66617,0.00035554
268.98311,0.000356036
269.30005,0.000356531
269.61699,0.000357026
269.93393,0.000357521
270.25088,0.000358017
270.56782,0.000358512
270.88476,0.000359008
271.2017,0.000359503
271.51864,0.000359998
271.83559,0.000360494
272.15253,0.000360989
272.46947,0.000361485
272.78641,0.00036198
273.10335,0.000362476
273.4203,0.000362971
273.73724,0.000363467
274.05418,0.000363962
274.37112,0.000364458
274.68806,0.000364953
275.00501,0.000365449
275.32195,0.000365944
275.63889,0.00036644
275.95583,0.000366935
276.27277,0.00036743
276.58971,0.000367926
276.90666,0.000368421
277.2236,0.000368917
277.54054,0.000369412
277.85748,0.000369907
278.17442,0.000370402
278.49137,0.000370898
278.80831,0.000371393
279.12525,0.000371888
279.44219,0.000372383
279.75913,0.000372878
280.07608,0.000373373
280.39302,0.000373868
280.70996,0.000374362
281.0269,0.000374857
281.34384,0.000375351
281.66079,0.000375845
281.97773,0.000376339
282.29467,0.000376833
282.61161,0.000377326
282.92855,0.000377819
283.2455,0.000378312
283.56244,0.000378804
283.87938,0.000379296
284.19632,0.000379788
284.51326,0.000380279
284.83021,0.00038077
285.14715,0.00038126
285.46409,0.00038175
285.78103,0.000382239
286.09797,0.000382729
286.41491,0.000383218
286.73186,0.000383706
287.0488,0.000384195
287.36574,0.000384685
287.68268,0.000385174
287.99962,0.000385664
288.31657,0.000386154
288.63351,0.000386645
288.95045,0.000387136
289.26739,0.000387628
289.58433,0.000388121
289.90128,0.000388615
290.21822,0.000389109
290.53516,0.000389603
290.8521,0.000390098
291.16904,0.000390593
291.48599,0.000391087
291.80293,0.000391582
292.11987,0.000392077
292.43681,0.000392571
292.75375,0.000393065
293.0707,0.000393559
293.38764,0.000394052
293.70458,0.000394545
294.02152,0.000395037
294.33846,0.000395529
294.65541,0.000396021
294.97235,0.000396513
295.28929,0.000397005
295.60623,0.000397496
295.92317,0.000397988
296.24012,0.000398479
296.55706,0.00039897
296.874,0.000399461
297.19094,0.000399951
297.50788,0.000400442
297.82482,0.000400933
298.14177,0.000401423
298.45871,0.000401914
298.77565,0.000402404
299.09259,0.000402894
299.40953,0.000403384
299.72648,0.000403874
300.04342,0.000404364
300.36036,0.000404854
300.6773,0.000405343
300.99424,0.000405833
301.31119,0.000406322
301.62813,0.000406811
301.94507,0.000407301
302.26201,0.00040779
302.57895,0.000408279
302.8959,0.000408768
303.21284,0.000409257
303.52978,0.000409746
303.84672,0.000410234
304.16366,0.000410723
304.48061,0.000411211
304.79755,0.0004117
305.11449,0.000412188
305.43143,0.000412676
305.74837,0.000413165
306.06532,0.000413653
306.38226,0.000414141
306.6992,0.000414629
307.01614,0.000415117
307.33308,0.000415604
307.65003,0.000416092
307.96697,0.00041658
308.28391,0.000417067
308.60085,0.000417555
308.91779,0.000418042
309.23473,0.00041853
309.55168,0.000419017
309.86862,0.000419504
310.18556,0.000419991
310.5025,0.000420479
310.81944,0.000420966
311.13639,0.000421453
311.45333,0.00042194
311.77027,0.000422426
312.08721,0.000422913
312.40415,0.0004234
312.7211,0.000423887
313.03804,0.000424373
313.35498,0.00042486
313.67192,0.000425346
313.98886,0.000425833
314.30581,0.000426319
314.62275,0.000426806
314.93969,0.000427292
315.25663,0.000427778
315.57357,0.000428265
315.89052,0.000428751
316.20746,0.000429237
316.5244,0.000429723
316.84134,0.000430209
317.15828,0.000430695
317.47523,0.000431181
317.79217,0.000431667
318.10911,0.000432153
318.42605,0.000432639
318.74299,0.000433125
319.05993,0.000433611
319.37688,0.000434097
